,price,name,brand,country_state,region,appellation,varietal,style,abv,taste,body,wine_adv_rating,customer_avg_rating,customer_total_ratings
4,34.99,"Amadieu Romane Machotte Gigondas, 2017",Pierre Amadieu,France,Rhone,Gigondas,Rhone Blend,Intense,14.5,"Cherry, Blackberry, Spice",Full-bodied,94,4.4,9
0,13.99,"Chateau de Nages Buti Nages Nimes Rouge, 2015",Nages,France,Rhone,Costieres de Nimes,Rhone Blend,Intense,13.5,"Black Cherry, Blackberry",Medium-bodied,88,4,52
1,51.99,"Clos St Michel Chateauneuf-du-Pape Reserve, 2017",Clos Saint Michel,France,Rhone,Chateauneuf-du-Pape,Rhone Blend,Concentrated,14.5,"Dark Fruit, Spice",Full-bodied,94,4.1,20
2,16.99,"Domaine de la Presidente Cairanne Rouge, 2019",Domaine de la Presidente,France,Rhone,Cairanne,Rhone Blend,Intense,15,"Cherry, Plum, Earth",Medium-bodied,90,4.2,10
3,109.99,"Domaine du Pegau Chateauneuf-du-Pape Cuvee Reserve, 2017",Domaine du Pegau,France,Rhone,Chateauneuf-du-Pape,Rhone Blend,,,,,95,5,4
4,21.99,"Domaine Mousset Les Garrigues Cotes du Rhone, 2015",Les Garrigues,France,Rhone,Cotes du Rhone,Rhone Blend,Elegant,14.5,"Raspberry, Earth",Full-bodied,91,4.5,23
0,29.99,"Halos de Jupiter Vacqueyras, 2015",Halos De Jupiter,France,Rhone,Vacqueyras,Rhone Blend,Concentrated,14,"Plum, Raspberry",Full-bodied,92,4.1,18
1,26.99,"JV Fleury Cotes du Rhone Cairanne, 2015",JV Fleury,France,Rhone,Cairanne,Rhone Blend,Concentrated,14,"Blackberry, Pepper",Medium-bodied,91,3.9,9
2,34.99,"Maison Denuziere Saint Joseph Martel, 2017",Maison Denuziere,France,Rhone,Saint-Joseph,Rhone Blend,Fresh,13.5,"Black Fruit, Cassis, Pepper",Full-bodied,92,4,5
3,59.99,"Orin Swift Machete Red Blend, 2018",Orin Swift,California,,,Rhone Blend,,,,,93,4.8,31
4,149.99,"Antinori Tignanello, 2018",Antinori,Italy,Tuscany,Bolgheri,Sangiovese,Elegant,,"Plum, Cassis, Cedar",Full-bodied,98,4.8,4
0,77.99,"Banfi Brunello di Montalcino, 2012",Banfi,Italy,Tuscany,Brunello di Montalcino,Sangiovese,Elegant,,"Berry, Spice, Anise",Full-bodied,92,4.9,18
